filename,,,numWords,,,numSentences,,,numSyllables,,,numberOfPolysyllableWord,,,numberOfChars,,,avgWordLengthSyl,,,avgWordLengthInChars,,,avgSenLengthInChars,,,avgWordsPerSentece,,,avgSyllablesPerSentence,,,fleschReadingEase,,,fleschKincaidGradeLevel,,,colemanLiauIndex,,,lixIndex,,,gunningFogIndex,,,SMOG,,,ARI,,,newDaleChall,,,goal
Monte-Carlo_Methods.1.html,,,4520,,,158,,,8300,,,989,,,26363,,,1.836,,,5.833,,,166.854,,,28.608,,,52.532,,,20.612,,,17.235,,,17.505,,,65.201,,,20.195,,,17.422,,,20.345,,,11.654,,,7.000
Monte-Carlo_Methods.6.html,,,585,,,39,,,1067,,,107,,,3445,,,1.824,,,5.889,,,88.333,,,15.000,,,27.359,,,35.481,,,11.782,,,16.886,,,49.530,,,13.316,,,12.592,,,13.807,,,13.646,,,6.667
Monte-Carlo_Methods.11.html,,,503,,,14,,,987,,,116,,,3486,,,1.962,,,6.930,,,249.000,,,35.929,,,70.500,,,2.401,,,21.576,,,24.185,,,85.829,,,23.596,,,19.573,,,29.177,,,13.993,,,7.000
Monte-Carlo_Methods.12.html,,,366,,,8,,,619,,,63,,,2103,,,1.691,,,5.746,,,262.875,,,45.750,,,77.375,,,15.627,,,22.209,,,17.388,,,77.444,,,25.185,,,19.160,,,28.508,,,15.126,,,7.000
Non-parametric_Statistics.1.html,,,1227,,,38,,,2381,,,314,,,8343,,,1.941,,,6.800,,,219.553,,,32.289,,,62.658,,,7.954,,,19.901,,,23.320,,,72.958,,,23.152,,,19.551,,,26.740,,,12.630,,,6.857
Non-parametric_Statistics.2.html,,,950,,,26,,,1925,,,271,,,6899,,,2.026,,,7.262,,,265.346,,,36.538,,,74.038,,,-3.704,,,22.571,,,26.153,,,79.591,,,26.026,,,21.573,,,31.044,,,13.813,,,7.000
Non-parametric_Statistics.8.html,,,917,,,14,,,1719,,,201,,,6226,,,1.875,,,6.790,,,444.714,,,65.500,,,122.786,,,-20.112,,,32.075,,,23.732,,,109.339,,,34.968,,,24.775,,,43.299,,,16.008,,,7.000
Non-parametric_Statistics.9.html,,,747,,,16,,,1643,,,237,,,6054,,,2.199,,,8.104,,,378.375,,,46.688,,,102.688,,,-28.827,,,28.572,,,31.292,,,95.014,,,31.366,,,25.116,,,40.086,,,15.083,,,6.000
Non-parametric_Statistics.11.html,,,153,,,1,,,362,,,56,,,1327,,,2.366,,,8.673,,,1327.000,,,153.000,,,362.000,,,-150.991,,,71.999,,,35.089,,,214.438,,,75.841,,,45.879,,,95.921,,,21.728,,,7.000
Non-parametric_Statistics.23.html,,,382,,,6,,,879,,,129,,,3428,,,2.301,,,8.974,,,571.333,,,63.667,,,146.500,,,-54.756,,,36.392,,,36.585,,,114.190,,,38.975,,,29.618,,,52.670,,,16.674,,,7.000
Non-parametric_Statistics.30.html,,,1157,,,31,,,2362,,,321,,,9146,,,2.041,,,7.905,,,295.032,,,37.323,,,76.194,,,-5.799,,,23.055,,,29.956,,,80.970,,,26.027,,,21.512,,,34.463,,,13.724,,,7.000
Nonstationary_Time_Series.4.html,,,762,,,15,,,1674,,,248,,,6162,,,2.197,,,8.087,,,410.800,,,50.800,,,111.600,,,-32.777,,,30.145,,,31.240,,,96.863,,,33.338,,,26.358,,,42.058,,,14.704,,,7.000
Nonstationary_Time_Series.6.html,,,279,,,7,,,528,,,53,,,1802,,,1.892,,,6.459,,,257.429,,,39.857,,,75.429,,,4.384,,,22.285,,,21.490,,,80.001,,,23.541,,,18.848,,,28.919,,,15.560,,,6.667
Nonstationary_Time_Series.19.html,,,800,,,15,,,1435,,,180,,,4728,,,1.794,,,5.910,,,315.200,,,53.333,,,95.667,,,-0.843,,,26.376,,,18.447,,,87.583,,,30.333,,,22.919,,,33.073,,,14.350,,,7.000
Nonstationary_Time_Series.21.html,,,902,,,173,,,1621,,,193,,,5116,,,1.797,,,5.672,,,29.572,,,5.214,,,9.370,,,47.710,,,7.649,,,11.853,,,43.019,,,10.644,,,9.163,,,7.891,,,13.825,,,7.000
Number_Theory.8.html,,,1461,,,181,,,2543,,,282,,,7806,,,1.741,,,5.343,,,43.127,,,8.072,,,14.050,,,49.648,,,8.097,,,11.953,,,36.272,,,10.949,,,10.260,,,7.771,,,13.683,,,5.500
Number_Theory.9.html,,,701,,,37,,,1194,,,144,,,3733,,,1.703,,,5.325,,,100.892,,,18.946,,,32.270,,,41.804,,,11.898,,,13.982,,,46.763,,,15.795,,,14.399,,,13.125,,,11.504,,,7.000
Number_Theory.11.html,,,2669,,,92,,,4948,,,654,,,15404,,,1.854,,,5.771,,,167.435,,,29.011,,,53.783,,,18.697,,,17.600,,,17.160,,,65.729,,,21.406,,,18.361,,,20.259,,,11.828,,,6.500
Number_Theory.14.html,,,979,,,6,,,1705,,,143,,,5307,,,1.742,,,5.421,,,884.500,,,163.167,,,284.167,,,-107.858,,,68.596,,,15.945,,,193.299,,,71.109,,,31.018,,,85.685,,,21.222,,,7.000
Number_Theory.17.html,,,819,,,45,,,1719,,,216,,,5837,,,2.099,,,7.127,,,129.711,,,18.200,,,38.200,,,8.696,,,16.275,,,24.530,,,57.150,,,17.829,,,15.645,,,21.238,,,12.393,,,5.667
Number_Theory.20.html,,,141,,,6,,,252,,,33,,,795,,,1.787,,,5.638,,,132.500,,,23.500,,,42.000,,,29.995,,,14.664,,,16.133,,,58.961,,,18.762,,,16.527,,,16.876,,,11.804,,,6.000
Number_Theory.23.html,,,9957,,,13,,,19241,,,2720,,,60287,,,1.932,,,6.055,,,4637.462,,,765.923,,,1480.077,,,-735.991,,,305.922,,,19.823,,,804.348,,,317.296,,,85.763,,,390.049,,,50.542,,,7.000
Numerical_analysis.8.html,,,907,,,39,,,1455,,,146,,,4525,,,1.604,,,4.989,,,116.026,,,23.256,,,37.308,,,45.911,,,12.409,,,12.295,,,52.033,,,15.741,,,14.182,,,13.696,,,8.013,,,7.000
Numerical_analysis.9.html,,,354,,,5,,,616,,,68,,,2176,,,1.740,,,6.147,,,435.200,,,70.800,,,123.200,,,-13.981,,,32.555,,,19.981,,,103.568,,,36.004,,,24.197,,,42.922,,,15.287,,,7.000
Numerical_analysis.13.html,,,715,,,43,,,1207,,,142,,,3679,,,1.688,,,5.145,,,85.558,,,16.628,,,28.070,,,45.455,,,10.815,,,12.703,,,46.418,,,14.595,,,13.510,,,11.119,,,12.242,,,7.000
Numerical_analysis.17.html,,,231,,,3,,,460,,,60,,,1518,,,1.991,,,6.571,,,506.000,,,77.000,,,153.333,,,-41.779,,,37.938,,,22.516,,,127.649,,,41.190,,,28.677,,,48.021,,,16.875,,,7.000
Numerical_analysis.25.html,,,2403,,,119,,,4648,,,578,,,15228,,,1.934,,,6.337,,,127.966,,,20.193,,,39.059,,,20.767,,,15.110,,,20.040,,,62.973,,,17.699,,,15.719,,,18.514,,,11.410,,,6.800
Numerical_analysis.30.html,,,354,,,5,,,616,,,68,,,2176,,,1.740,,,6.147,,,435.200,,,70.800,,,123.200,,,-13.981,,,32.555,,,19.981,,,103.568,,,36.004,,,24.197,,,42.922,,,15.287,,,7.000
Polynomials.1.html,,,5538,,,224,,,9686,,,1100,,,29019,,,1.749,,,5.240,,,129.549,,,24.723,,,43.241,,,32.026,,,14.690,,,13.850,,,55.998,,,17.834,,,15.789,,,15.612,,,9.831,,,5.600
Polynomials.3.htm,,,953,,,33,,,1578,,,161,,,5358,,,1.656,,,5.622,,,162.364,,,28.879,,,47.818,,,35.785,,,15.211,,,16.276,,,58.050,,,18.309,,,15.747,,,19.490,,,10.595,,,2.000
Polynomials.8.html,,,1286,,,77,,,2590,,,333,,,7855,,,2.014,,,6.108,,,102.013,,,16.701,,,33.636,,,17.485,,,14.689,,,18.380,,,57.603,,,17.038,,,15.009,,,15.690,,,12.161,,,5.286
Polynomials.14.htm,,,321,,,12,,,502,,,48,,,1371,,,1.564,,,4.271,,,114.250,,,26.750,,,41.833,,,45.817,,,13.296,,,8.235,,,45.753,,,16.681,,,14.555,,,12.062,,,9.050,,,2.667
pythagorean_theorem.3.html,,,1624,,,150,,,2768,,,305,,,8642,,,1.704,,,5.321,,,57.613,,,10.827,,,18.453,,,49.946,,,8.745,,,12.772,,,42.292,,,11.843,,,11.275,,,9.047,,,11.884,,,2.833
pythagorean_theorem.10.html,,,65,,,1,,,134,,,15,,,389,,,2.062,,,5.985,,,389.000,,,65.000,,,134.000,,,-35.608,,,34.086,,,18.988,,,112.692,,,35.231,,,25.254,,,39.258,,,17.799,,,2.000
pythagorean_theorem.14.html,,,991,,,46,,,1592,,,153,,,5062,,,1.606,,,5.108,,,110.043,,,21.543,,,34.609,,,47.456,,,11.768,,,12.893,,,46.367,,,14.793,,,13.548,,,13.400,,,10.151,,,2.000
pythagorean_theorem.15.html,,,429,,,14,,,841,,,100,,,3135,,,1.960,,,7.308,,,223.929,,,30.643,,,60.071,,,7.925,,,19.493,,,26.263,,,71.902,,,21.581,,,18.397,,,28.311,,,13.629,,,2.167
pythagorean_theorem.35.htm,,,2274,,,145,,,3348,,,323,,,9790,,,1.472,,,4.305,,,67.517,,,15.683,,,23.090,,,64.889,,,7.899,,,7.645,,,35.340,,,11.955,,,11.655,,,6.689,,,7.902,,,2.143
pythagorean_theorem.81.htm,,,723,,,23,,,1006,,,71,,,3041,,,1.391,,,4.206,,,132.217,,,31.435,,,43.739,,,55.823,,,13.088,,,8.019,,,49.000,,,16.502,,,13.166,,,14.098,,,10.164,,,2.286
pythagorean_theorem.85.html,,,650,,,24,,,1145,,,128,,,4197,,,1.762,,,6.457,,,174.875,,,27.083,,,47.708,,,28.558,,,15.759,,,21.124,,,66.929,,,18.710,,,16.322,,,22.524,,,15.360,,,2.000
pythagorean_theorem.92.html,,,1065,,,27,,,2086,,,259,,,7085,,,1.959,,,6.653,,,262.407,,,39.444,,,77.259,,,-0.865,,,22.906,,,22.623,,,78.224,,,25.505,,,20.823,,,29.626,,,13.254,,,2.000
Ring_Isomorphism_Theorem.5.html,,,293,,,7,,,556,,,58,,,1851,,,1.898,,,6.317,,,264.429,,,41.857,,,79.429,,,1.915,,,23.126,,,20.693,,,82.130,,,24.661,,,19.573,,,29.254,,,15.549,,,6.857
Ring_Isomorphism_Theorem.8.html,,,1971,,,52,,,3417,,,414,,,10994,,,1.734,,,5.578,,,211.423,,,37.904,,,65.712,,,19.963,,,19.649,,,16.262,,,70.375,,,23.563,,,19.248,,,23.794,,,11.822,,,6.800
Ring_Isomorphism_Theorem.12.html,,,307,,,10,,,544,,,58,,,1725,,,1.772,,,5.619,,,172.500,,,30.700,,,54.400,,,23.992,,,17.292,,,16.318,,,60.667,,,19.837,,,16.887,,,20.385,,,11.089,,,7.000
Ring_Isomorphism_Theorem.15.html,,,577,,,11,,,1110,,,139,,,3980,,,1.924,,,6.898,,,361.818,,,52.455,,,100.909,,,-11.079,,,27.567,,,24.256,,,92.316,,,30.618,,,23.437,,,37.286,,,14.615,,,7.000
Ring_Isomorphism_Theorem.23.html,,,146,,,6,,,274,,,34,,,972,,,1.877,,,6.658,,,162.000,,,24.333,,,45.667,,,21.490,,,16.045,,,22.180,,,62.005,,,19.048,,,16.728,,,22.094,,,11.373,,,6.857
